name,vendor,sku,tech,price_usd,fov_h_deg,fov_v_deg,zones,max_range_m,update_hz,interface,needs_line_of_sight,sees_through_plastic,width_1ft_mm,human_1ft,pet_1ft,object_1ft,width_3ft_mm,human_3ft,pet_3ft,object_3ft,width_5ft_mm,human_5ft,pet_5ft,object_5ft,width_8ft_mm,human_8ft,pet_8ft,object_8ft,width_10ft_mm,human_10ft,pet_10ft,object_10ft
C1001 60GHz mmWave Indoor Fall Detection Sensor,DFRobot,SEN0623,mmwave-60ghz,29.00,100,100,1,11.0,,UART 115200 plus IO1 fall level plus IO2 presence level,no,yes,726,0 nothing,0 nothing,0 nothing,2179,3 living vs not,3 living vs not,0 nothing,3632,3 living vs not,3 living vs not,0 nothing,5812,3 living vs not,3 living vs not,0 nothing,7265,3 living vs not,3 living vs not,0 nothing
mmWave 24GHz Human Presence Sensing Module 6m,DFRobot,SEN0557,mmwave-24ghz,9.90,120,,8 gates of 0.75 m,6.0,,UART 57600 default plus GPIO OUT 3.3 V,no,yes,1056,3 living vs not,3 living vs not,0 nothing,3168,3 living vs not,3 living vs not,0 nothing,5279,3 living vs not,3 living vs not,0 nothing,8447,3 living vs not,0 nothing,0 nothing,10559,3 living vs not,0 nothing,0 nothing
mmWave 24GHz Microwave Radar Distance Sensor 20m,DFRobot,SEN0306,mmwave-24ghz,65.90,78,23,126-bin range spectrum,20.0,10,UART 57600 8N1 TX only,no,yes,494,0 nothing,0 nothing,0 nothing,1481,2 obstacle + range,2 obstacle + range,2 obstacle + range,2468,2 obstacle + range,2 obstacle + range,2 obstacle + range,3949,2 obstacle + range,2 obstacle + range,2 obstacle + range,4936,2 obstacle + range,2 obstacle + range,2 obstacle + range
Gravity Digital 10.525GHz Microwave Motion Sensor,DFRobot,SEN0192,mmwave-24ghz,8.90,72,36,1,16.0,,Gravity digital pin,no,yes,443,1 presence only,1 presence only,0 nothing,1329,1 presence only,1 presence only,0 nothing,2215,1 presence only,1 presence only,0 nothing,3543,1 presence only,1 presence only,0 nothing,4429,1 presence only,1 presence only,0 nothing
5.8GHz Microwave Radar Module,DFRobot,SEN0521,mmwave-24ghz,,120,120,1,11.0,,UART 115200 or digital I/O,no,yes,1056,3 living vs not,3 living vs not,0 nothing,3168,3 living vs not,3 living vs not,0 nothing,5279,3 living vs not,3 living vs not,0 nothing,8447,3 living vs not,3 living vs not,0 nothing,10559,3 living vs not,3 living vs not,0 nothing
mmWave 80GHz Liquid Level Detection Sensor 40m,DFRobot,SEN0676,mmwave-60ghz,59.00,50,50,1,40.0,,UART Modbus,no,yes,284,2 obstacle + range,2 obstacle + range,2 obstacle + range,853,2 obstacle + range,2 obstacle + range,2 obstacle + range,1421,2 obstacle + range,2 obstacle + range,2 obstacle + range,2274,2 obstacle + range,2 obstacle + range,2 obstacle + range,2843,2 obstacle + range,2 obstacle + range,2 obstacle + range
MR60BHA2 60GHz Breathing and Heartbeat Module,Seeed Studio,MR60BHA2,mmwave-60ghz,,120,120,1,1.5,,UART,no,yes,1056,0 nothing,0 nothing,0 nothing,3168,3 living vs not,0 nothing,0 nothing,5279,0 nothing,0 nothing,0 nothing,8447,0 nothing,0 nothing,0 nothing,10559,0 nothing,0 nothing,0 nothing
MR60FDA2 60GHz Fall Detection Module,Seeed Studio,MR60FDA2,mmwave-60ghz,,120,120,1,2.0,,UART,no,yes,1056,3 living vs not,3 living vs not,0 nothing,3168,3 living vs not,0 nothing,0 nothing,5279,3 living vs not,0 nothing,0 nothing,8447,0 nothing,0 nothing,0 nothing,10559,0 nothing,0 nothing,0 nothing
Person Sensor,Useful Sensors,SparkFun SEN-21231,camera,9.95,110,110,1 frame; up to 4 faces,,7,I2C addr 0x62 up to 400 kbaud,yes,no,871,0 nothing,0 nothing,0 nothing,2612,0 nothing,0 nothing,0 nothing,4353,0 nothing,0 nothing,0 nothing,6965,0 nothing,0 nothing,0 nothing,8706,0 nothing,0 nothing,0 nothing
Gravity Offline Edge AI Gesture and Face Detection Sensor,DFRobot,SEN0626,camera,14.90,85,85,1 frame; up to 10 faces or upper bodies,3.0,,I2C plus UART,yes,no,559,4 human vs pet,4 human vs pet,4 human vs pet,1676,4 human vs pet,4 human vs pet,4 human vs pet,2793,4 human vs pet,4 human vs pet,4 human vs pet,4469,4 human vs pet,4 human vs pet,4 human vs pet,5586,0 nothing,0 nothing,0 nothing
